NPlayers,MaxNActions,Solver,Runtime,MaxViolation,NViolations,Welfare
2,2,Linear Programming,0.04945320800470654,0,0,13.75054886537646
2,2,Linear Programming-Maximize Welfare,0.010123540996573865,0,0,13.75054886537646
2,2,Swap Regret,8.608095791991218,0,0,13.714015106135383
2,2,Linear Programming,0.012325792005867697,0,0,12.37544365914088
2,2,Linear Programming-Maximize Welfare,0.009872708003968,0,0,12.37544365914088
2,2,Swap Regret,13.43512299998838,0,0,11.368412920948368
2,2,Linear Programming,0.01619675000256393,0,0,10.227432437059802
2,2,Linear Programming-Maximize Welfare,0.010062750006909482,0,0,10.227432437059802
2,2,Swap Regret,6.088405959002557,0,0,10.192761190102342
2,2,Linear Programming,0.012014125008136034,0,0,13.480707396927345
2,2,Linear Programming-Maximize Welfare,0.00983441699645482,0,0,13.480707396927345
2,2,Swap Regret,17.338208250002936,0,0,13.418413879201562
2,2,Linear Programming,0.032750583995948546,0,0,-2.0727813169816955
2,2,Linear Programming-Maximize Welfare,0.013189749995945022,0,0,7.049614952683026
2,2,Swap Regret,20.58278095800779,0,0,-2.0846655554745808
3,2,Linear Programming,0.010656582991941832,0,0,5.785632910279305
3,2,Linear Programming-Maximize Welfare,0.009897875002934597,0,0,24.98063494688637
3,2,Swap Regret,32.45460420800373,0,0,24.75916379424959
3,2,Linear Programming,0.036711000007926486,0,0,9.85166035665734
3,2,Linear Programming-Maximize Welfare,0.010901250003371388,0,0,17.097141683262116
3,2,Swap Regret,32.29765429199324,5.3699675821566295,1,10.056057299197958
3,2,Linear Programming,0.03561137500219047,0,0,6.763408348201224
3,2,Linear Programming-Maximize Welfare,0.010904500013566576,0,0,6.763408348201224
3,2,Swap Regret,34.059041707994766,8.279975718534157,1,7.224582200837641
3,2,Linear Programming,0.012074708996806294,0,0,2.3011742682350196
3,2,Linear Programming-Maximize Welfare,0.009963874996174127,0,0,2.5001896176156935
3,2,Swap Regret,34.114965457993094,0.9649330684608453,1,3.864866482796466
3,2,Linear Programming,0.03320383300888352,0,0,11.545891299901111
3,2,Linear Programming-Maximize Welfare,0.010942084001726471,0,0,11.545891299901111
3,2,Swap Regret,26.72986537500401,3.885825390908142,2,-0.732998923957973
4,2,Linear Programming,0.0390302919986425,0,0,21.536302725356556
4,2,Linear Programming-Maximize Welfare,0.013320208003278822,0,0,22.303111113035765
4,2,Swap Regret,44.95264037500601,1.1289689642110776,1,0.46301792913998807
4,2,Linear Programming,0.04152075000456534,0,0,22.606029019916868
4,2,Linear Programming-Maximize Welfare,0.011043125006835908,0,0,22.60602901995856
4,2,Swap Regret,45.29380166699411,0,0,13.214131311854075
4,2,Linear Programming,0.028558542006067,0,0,10.591954967233644
4,2,Linear Programming-Maximize Welfare,0.010199875003308989,0,0,17.40626488499177
4,2,Swap Regret,45.68849641700217,0,0,8.979063143802803
4,2,Linear Programming,0.043827832996612415,0,0,8.121845440035564
4,2,Linear Programming-Maximize Welfare,0.015920958001515828,0,0,19.469189455190755
4,2,Swap Regret,41.20618520799326,1.576682039603516,1,9.098308231085241
4,2,Linear Programming,0.03813054200145416,0,0,10.51140599020506
4,2,Linear Programming-Maximize Welfare,0.011019750003470108,0,0,29.451487934736004
4,2,Swap Regret,46.27518495800905,0.5501639058494301,1,10.586516826991462
5,2,Linear Programming,0.04022320800868329,0,0,0.39772086827995157
5,2,Linear Programming-Maximize Welfare,0.012089124997146428,0,0,27.932249424505617
5,2,Swap Regret,57.443691583001055,5.593565954080018,1,-2.074978387050362
5,2,Linear Programming,0.036162082993541844,0,0,10.08848174853297
5,2,Linear Programming-Maximize Welfare,0.011999833004665561,0,0,23.8584488036082
5,2,Swap Regret,56.868989583002985,5.872284173701125,1,18.76456230565511
5,2,Linear Programming,0.03711191601178143,0,0,6.827520565503976
5,2,Linear Programming-Maximize Welfare,0.011647542007267475,0,0,25.864905397717056
5,2,Swap Regret,58.465162125008646,3.7249927692713616,2,-7.069251037875919
5,2,Linear Programming,0.03935908299172297,0,0,4.600020237128089
5,2,Linear Programming-Maximize Welfare,0.01198925000790041,0,0,22.013947178813194
5,2,Swap Regret,57.09201433398994,1.7174617230473619,2,-7.826474736070517
5,2,Linear Programming,0.029233582987217233,0,0,6.608999111212512
5,2,Linear Programming-Maximize Welfare,0.011414707987569273,0,0,26.815542965221756
5,2,Swap Regret,58.01700287499989,6.694884456299884,1,-0.17208302381923235
2,2,Linear Programming,0.03339124999183696,0,0,7.846244340706304
2,2,Linear Programming-Maximize Welfare,0.009475500002736226,0,0,7.846244340706304
2,2,Swap Regret,13.423410457995487,1.8311148737489682,1,8.238606310748342
2,2,Linear Programming,0.012781624987837858,0,0,11.351777770075005
2,2,Linear Programming-Maximize Welfare,0.010917084000539035,0,0,11.351777770075005
2,2,Swap Regret,11.586153750002268,0,0,11.332036169846749
2,2,Linear Programming,0.03962504099763464,0,0,6.1620011545683155
2,2,Linear Programming-Maximize Welfare,0.009943084005499259,0,0,6.1620011545683155
2,2,Swap Regret,13.838581750009325,0,0,6.11301400029582
2,2,Linear Programming,0.012764792001689784,0,0,2.6052138103209654
2,2,Linear Programming-Maximize Welfare,0.0102187500015134,0,0,2.6052138103209654
2,2,Swap Regret,8.637313333005295,1.370140230656054,1,-6.14386317001961
2,2,Linear Programming,0.009979624999687076,0,0,13.116357643861875
2,2,Linear Programming-Maximize Welfare,0.00922841600549873,0,0,13.116357643861875
2,2,Swap Regret,14.916724166992935,0,0,13.095145434468263
2,3,Linear Programming,0.010718290999648161,0,0,19.277806220243903
2,3,Linear Programming-Maximize Welfare,0.010043125002994202,0,0,19.277806220243903
2,3,Swap Regret,78.7132094999979,0,0,19.25126659490632
2,3,Linear Programming,0.04260620901186485,0,0,15.411823067943605
2,3,Linear Programming-Maximize Welfare,0.011073625006247312,0,0,15.411823067943605
2,3,Swap Regret,60.44938537500275,0,0,15.374380417851716
2,3,Linear Programming,0.037042083000415005,0,0,12.858161479392093
2,3,Linear Programming-Maximize Welfare,0.010487334002391435,0,0,12.858161479302442
2,3,Swap Regret,61.32260037500237,0,0,12.817673256176933
2,3,Linear Programming,0.04820591599855106,0,0,9.563314173565033
2,3,Linear Programming-Maximize Welfare,0.012006208999082446,0,0,15.310097562199802
2,3,Swap Regret,72.0571774590062,0,0,15.225253442849175
2,3,Linear Programming,0.034626916007255204,0,0,16.079933295564913
2,3,Linear Programming-Maximize Welfare,0.009944791992893443,0,0,16.079933295564913
2,3,Swap Regret,88.06946883299679,0,0,16.06431906755626
2,4,Linear Programming,0.039721209002891555,0,0,15.855448300840658
2,4,Linear Programming-Maximize Welfare,0.013366917002713308,0,0,15.855448300836752
2,4,Swap Regret,208.3117094170011,1.1717520134055794,1,13.953883004398593
2,4,Linear Programming,0.03660216699063312,0,0,15.597150914809786
2,4,Linear Programming-Maximize Welfare,0.011828957998659462,0,0,15.597150914809786
2,4,Swap Regret,172.29307529200742,0,0,15.580090265937248
2,4,Linear Programming,0.04304925000178628,0,0,5.641108462032856
2,4,Linear Programming-Maximize Welfare,0.012635540988412686,0,0,5.641108462038868
2,4,Swap Regret,178.4887017919973,1.33467425979405,1,7.096865241620669
2,4,Linear Programming,0.04069408299983479,0,0,2.568313073970944
2,4,Linear Programming-Maximize Welfare,0.011187249998329207,0,0,2.568313073970944
2,4,Swap Regret,219.45214545899944,11.94546478361541,1,4.041456278547072
2,4,Linear Programming,0.5200385839998489,0,0,11.418725428996785
2,4,Linear Programming-Maximize Welfare,0.012235458998475224,0,0,14.426269236304682
2,4,Swap Regret,207.89917812499334,1.3269431628213955,1,17.5676142543561
2,5,Linear Programming,0.48982083299779333,0,0,9.519250962779875
2,5,Linear Programming-Maximize Welfare,0.01325541699770838,0,0,13.607688350526889
2,5,Swap Regret,432.3693385420047,0.5775796877550942,1,5.291800905123165
2,5,Linear Programming,0.04352241700689774,0,0,15.82191315961618
2,5,Linear Programming-Maximize Welfare,0.01300345799245406,0,0,18.469948024248204
2,5,Swap Regret,444.35023433400784,0,0,18.45466672761065
2,5,Linear Programming,0.044551332990522496,0,0,6.1470703443762815
2,5,Linear Programming-Maximize Welfare,0.013102042008540593,0,0,11.116828297768054
2,5,Swap Regret,314.72545729200647,4.0676746926862535,1,8.536056604792833
2,5,Linear Programming,0.09254191699437797,0,0,7.16982479805729
2,5,Linear Programming-Maximize Welfare,0.012742374994559214,0,0,7.172520307833078
2,5,Swap Regret,423.35492816699843,4.434141011466422,3,11.102414906687011
2,5,Linear Programming,0.03733337500307243,0,0,8.717816266657326
2,5,Linear Programming-Maximize Welfare,0.01298341600340791,0,0,12.658643832790828
2,5,Swap Regret,448.087499375004,0.23055879450239525,1,12.672942148905303
